,asd_desc,agg_level_desc,year,crop,info,class_desc,domain_desc,unit_desc,commodity_desc,value
233,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"WHEAT, IRRIGATED ","YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,WHEAT,94.7
248,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"WHEAT, NON-IRRIGATED ","YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,WHEAT,17
263,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"WHEAT, NON-IRRIGATED, CONTINUOUS CROP ","YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,WHEAT,13.2
278,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"WHEAT, NON-IRRIGATED, FOLLOWING SUMMER FALLOW ","YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,WHEAT,18.4
294,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"WHEAT, SPRING, (EXCL DURUM) ","YIELD, MEASURED IN BU / ACRE","SPRING, (EXCL DURUM)",TOTAL,BU / ACRE,WHEAT,79
309,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"WHEAT, SPRING, (EXCL DURUM), IRRIGATED ","YIELD, MEASURED IN BU / ACRE","SPRING, (EXCL DURUM)",TOTAL,BU / ACRE,WHEAT,85.6
324,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"WHEAT, SPRING, (EXCL DURUM), NON-IRRIGATED ","YIELD, MEASURED IN BU / ACRE","SPRING, (EXCL DURUM)",TOTAL,BU / ACRE,WHEAT,12.5
339,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"WHEAT, SPRING, (EXCL DURUM), NON-IRRIGATED, CONTINUOUS CROP ","YIELD, MEASURED IN BU / ACRE","SPRING, (EXCL DURUM)",TOTAL,BU / ACRE,WHEAT,13.2
352,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"WHEAT, SPRING, (EXCL DURUM), NON-IRRIGATED, FOLLOWING SUMMER FALLOW ","YIELD, MEASURED IN BU / ACRE","SPRING, (EXCL DURUM)",TOTAL,BU / ACRE,WHEAT,10.9
367,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"WHEAT, WINTER ","YIELD, MEASURED IN BU / ACRE",WINTER,TOTAL,BU / ACRE,WHEAT,93.1
380,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"WHEAT, WINTER, IRRIGATED ","YIELD, MEASURED IN BU / ACRE",WINTER,TOTAL,BU / ACRE,WHEAT,102
394,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"WHEAT, WINTER, NON-IRRIGATED ","YIELD, MEASURED IN BU / ACRE",WINTER,TOTAL,BU / ACRE,WHEAT,20
